date	classification	total_volume	total_pnl	trade_count
11-04-2024	Extreme Greed	76400.96	389.743164	16
12-04-2024	Extreme Greed	442088.59	-592.645839	129
13-04-2024	Greed	486411.25	6621.451755	89
14-04-2024	Greed	659162.17	-36104.01252	107
15-04-2024	Greed	291111.19	3774.08872	41
16-04-2024	Greed	181907.17	2467.702221	47
17-04-2024	Greed	97562.99	2441.4684	14
19-04-2024	Greed	337257.92	1946.445462	35
20-04-2024	Greed	60733.24	0	22
22-04-2024	Greed	47993.61	0	9
23-04-2024	Greed	233054.9	1119.536196	66
24-04-2024	Greed	141275.24	279.185907	20
25-04-2024	Greed	120241.01	0	74
26-04-2024	Greed	4988.29	0	3
27-04-2024	Greed	154264.47	4281.488139	27
28-04-2024	Greed	43985.6	0	58
29-04-2024	Greed	108699.01	526.933836	45
30-04-2024	Greed	125018.75	0	24
01-05-2024	Neutral	87025.45	0	14
03-05-2024	Neutral	282682.65	5306.017045	36
04-05-2024	Greed	58998.75	0	9
05-05-2024	Greed	24068.35	0.916	6
06-05-2024	Greed	206016.43	968.59038	9
07-05-2024	Greed	108717.58	883.537693	18
08-05-2024	Greed	65973.57	1.56576	13
09-05-2024	Greed	221966.12	1147.595856	28
10-05-2024	Greed	156882	2101.741695	22
11-05-2024	Neutral	63248.95	251.604742	9
12-05-2024	Greed	55179.56	0	23
13-05-2024	Greed	193118.9	2136.853859	28
14-05-2024	Greed	145853.4	1150.523305	23
15-05-2024	Greed	234922.57	948.970582	36
16-05-2024	Greed	162620.96	214.5898	27
18-05-2024	Greed	126303.14	3522.394661	25
19-05-2024	Greed	29998.09	0	8
20-05-2024	Greed	38124.75	-74.818442	10
21-05-2024	Extreme Greed	1100948.59	7289.397572	125
22-05-2024	Extreme Greed	44995.29	0	6
23-05-2024	Extreme Greed	401850.6	413.347329	325
24-05-2024	Greed	50811.9	821.949278	2
25-05-2024	Extreme Greed	29991.13	14.126039	16
26-05-2024	Extreme Greed	53976.67	778.6839	16
27-05-2024	Greed	151115.72	1129.35587	251
29-05-2024	Greed	84268.76	277.791953	164
30-05-2024	Greed	2838.09	20.951433	7
31-05-2024	Greed	3636.14	25.35812	13
01-06-2024	Greed	12834.62	91.510419	25
02-06-2024	Greed	29464.51	192.906947	93
03-06-2024	Greed	21466.86	562.808208	70
04-06-2024	Greed	24243.41	52.211438	53
05-06-2024	Extreme Greed	25350.77	56.055506	54
06-06-2024	Extreme Greed	137557.76	274.173187	234
07-06-2024	Extreme Greed	1098588.76	8902.467416	440
08-06-2024	Greed	97351.88	129.138839	29
09-06-2024	Extreme Greed	22410.22	0	17
10-06-2024	Greed	46587.93	31.266805	53
11-06-2024	Greed	373279.92	4320.631811	123
12-06-2024	Greed	193407.96	-21886.53149	254
13-06-2024	Greed	132577.22	6632.757115	79
14-06-2024	Greed	139868.66	10258.59261	31
15-06-2024	Greed	718350.25	3369.958346	78
16-06-2024	Greed	25235.08	0	11
17-06-2024	Greed	368380.12	10599.50238	38
18-06-2024	Greed	263314.79	282.57636	25
19-06-2024	Greed	417071.12	4887.656944	61
20-06-2024	Greed	207990.8	57478.45603	39
21-06-2024	Greed	176264.49	773.558204	80
22-06-2024	Neutral	169594.27	756.876565	24
23-06-2024	Greed	1792.12	0	5
24-06-2024	Neutral	403002.8	0	31
25-06-2024	Fear	103099.08	4869.353105	49
26-06-2024	Neutral	365190.66	4197.732182	72
27-06-2024	Fear	130486.95	0	30
29-06-2024	Fear	280095.11	6150.326145	75
30-06-2024	Neutral	30520.69	0	14
01-07-2024	Neutral	362670.15	5065.839308	64
02-07-2024	Neutral	33347.47	2421.253116	18
03-07-2024	Neutral	179600.66	1118.387284	18
04-07-2024	Fear	430568.01	0	25
05-07-2024	Fear	272289.89	0	32
06-07-2024	Fear	2490.17	108.872178	24
07-07-2024	Fear	498.75	61.428942	10
08-07-2024	Fear	497.64	0	1
09-07-2024	Fear	2736.45	648.984412	15
10-07-2024	Fear	687900.21	11977.73491	56
11-07-2024	Fear	169887.02	1876.812082	19
12-07-2024	Fear	89582.97	1412.314654	19
13-07-2024	Fear	139189.19	2913.617837	17
14-07-2024	Fear	84001.13	0	7
15-07-2024	Neutral	198344.85	-1	26
16-07-2024	Greed	144000.57	0	22
17-07-2024	Greed	626005.53	1859.269477	351
18-07-2024	Greed	649704.85	3803.884311	60
19-07-2024	Greed	150269.42	2155.891114	23
20-07-2024	Greed	244362.21	2299.169566	266
21-07-2024	Greed	234307.46	-2960.716887	448
22-07-2024	Greed	304213.8	1517.119876	154
23-07-2024	Greed	358526.54	89890.30221	370
24-07-2024	Greed	69207.93	625.561479	90
25-07-2024	Greed	528555.31	916.73826	78
26-07-2024	Greed	548587.65	2766.513113	152
27-07-2024	Greed	905199.75	6400.623656	57
28-07-2024	Greed	43254.68	587.29903	16
29-07-2024	Greed	327199.14	330.804454	39
30-07-2024	Greed	36006.47	0	6
31-07-2024	Greed	84506.54	765.690884	43
01-08-2024	Neutral	227774.53	167.080017	57
02-08-2024	Greed	396320.37	782.368191	63
03-08-2024	Fear	290532.86	464.1897	37
04-08-2024	Fear	1207744.07	-122672.0009	127
05-08-2024	Fear	420495.4	-13013.66517	80
06-08-2024	Extreme Fear	61478.38	267.318048	107
07-08-2024	Fear	2492.77	188.789255	33
08-08-2024	Extreme Fear	16299.35	-40.712217	9
09-08-2024	Neutral	503204.86	18082.07128	144
10-08-2024	Fear	11339.29	0	88
11-08-2024	Fear	44230.21	847.77662	24
12-08-2024	Fear	54167.32	858.6705	48
13-08-2024	Fear	20797.87	212.08102	23
14-08-2024	Fear	66710.03	2168.901513	25
15-08-2024	Fear	1522.37	0	12
16-08-2024	Fear	166382.84	825.230544	35
17-08-2024	Fear	30248.96	-288.283113	30
18-08-2024	Fear	62804.48	307.201888	15
19-08-2024	Fear	100315.03	339.699583	8
20-08-2024	Fear	49914.8	192.602844	12
21-08-2024	Fear	104990.41	656.200925	145
23-08-2024	Fear	63509.56	1005.30527	10
24-08-2024	Greed	34999.67	0	7
25-08-2024	Neutral	21950.28	0	17
26-08-2024	Greed	92611.27	231.236918	6
27-08-2024	Neutral	70250.16	0	50
28-08-2024	Fear	71160.07	1333.359645	9
29-08-2024	Fear	9995.85	0	1
30-08-2024	Fear	37233.24	256.464	6
31-08-2024	Fear	107507.43	10.882801	34
01-09-2024	Fear	12359.68	137.433093	12
02-09-2024	Fear	30000.42	0	2
04-09-2024	Fear	131480.97	1065.785132	34
05-09-2024	Fear	0.84	0	1
06-09-2024	Extreme Fear	39047.1	-1104.856765	42
08-09-2024	Fear	0.11	0	1
09-09-2024	Fear	4014.43	0	2
10-09-2024	Fear	2547.28	-219.729659	3
11-09-2024	Fear	0.54	0	1
14-09-2024	Neutral	1014.8	0	11
18-09-2024	Neutral	13633.5	-878.684794	145
19-09-2024	Neutral	1521.87	0	19
20-09-2024	Neutral	332873.38	9585.03428	16
21-09-2024	Neutral	165648.12	36165.56933	23
22-09-2024	Neutral	19999.74	0	3
23-09-2024	Neutral	40334.29	334.760796	2
24-09-2024	Neutral	7118.63	0	10
25-09-2024	Greed	52754.13	0	9
26-09-2024	Neutral	113711.93	439.812513	8
27-09-2024	Greed	126097.04	0	56
28-09-2024	Greed	29199.21	0	4
30-09-2024	Greed	214669.85	2710.626288	106
01-10-2024	Neutral	139954.32	0	4
02-10-2024	Fear	99954.34	0	4
03-10-2024	Fear	132935.69	100.375782	9
04-10-2024	Fear	0.34	0	1
05-10-2024	Neutral	605605.74	5767.161892	37
06-10-2024	Neutral	300130.56	130.487079	22
07-10-2024	Neutral	219984.65	0	21
08-10-2024	Neutral	434584.13	5396.546638	36
09-10-2024	Neutral	220399.93	396.06272	14
10-10-2024	Fear	300024.34	0	16
11-10-2024	Fear	488904.19	8885.327477	26
12-10-2024	Neutral	159713.4	541.55471	10
13-10-2024	Neutral	60002.42	0	10
14-10-2024	Neutral	61916.02	1913.61958	5
15-10-2024	Greed	81173.36	1170.226076	7
16-10-2024	Greed	80229.17	219.480876	11
17-10-2024	Greed	140531.75	36.11496	9
18-10-2024	Greed	120331.43	333.219141	6
19-10-2024	Greed	99996.86	0	4
20-10-2024	Greed	176447.86	389.155797	96
21-10-2024	Greed	324117.99	2464.915564	173
22-10-2024	Greed	60000.36	0	3
23-10-2024	Greed	210006.07	-46.489941	18
25-10-2024	Greed	427883.18	13235.86207	30
27-10-2024	Greed	90664.41	666.662308	4
28-10-2024	Greed	121495.25	167.280162	13
29-10-2024	Greed	613267.81	801.170876	53
30-10-2024	Extreme Greed	11830.85	9.150023	25
31-10-2024	Extreme Greed	896173.36	1214.043811	48
01-11-2024	Extreme Greed	260981.03	1040.475736	23
02-11-2024	Greed	40000	0	2
03-11-2024	Greed	129055.66	0	6
04-11-2024	Greed	451811.97	2799.410474	36
05-11-2024	Greed	200627.23	678.475928	10
06-11-2024	Greed	123906.9	2817.83723	15
07-11-2024	Extreme Greed	111335.3	4493.353136	113
08-11-2024	Extreme Greed	270700.44	-64.413541	39
09-11-2024	Extreme Greed	193384.41	102.90894	86
10-11-2024	Extreme Greed	413636.7	991.114334	173
11-11-2024	Extreme Greed	1570572.42	6749.630996	373
12-11-2024	Extreme Greed	1226354.52	3494.399394	171
13-11-2024	Extreme Greed	515336.37	7846.402274	48
14-11-2024	Extreme Greed	1008361.81	4563.509225	110
15-11-2024	Extreme Greed	1427858.42	4140.740438	149
16-11-2024	Extreme Greed	303296.07	2769.521909	157
17-11-2024	Extreme Greed	1215987.57	882.975285	209
